"term","definition"
"crystal","a material which is highly organized on a microscopic scale AND has well-defined planes of symmetry (example: quartz)"
"amorphous solid","a solid with some repeating structure like a crystal, but arranged in a disordered way (example: glass)"
"unit cell","the smallest possible piece of a crystal"
"proton","positively charged particle"
"neutron","neutrally charged particle"
"electron","negatively charged particle"
"nucleus","center of an atom where protons and neutrons are found"
"shell","different energy levels of the electron cloud surrounding a nucleus"
"piezoelectric","mechanical deformations result in a small electric charge"
"dipole moment","quantifies the strength a charge separation, can be detected as an electrical signal"
